Name,type,ratings,latitude,longitude,place_id
Ciro Herrero,car_repair,3,-24.8189594,-65.3936195,ChIJSzLEE2jDG5QR2byAO8woB2w
Coca Tito,restaurant,96,-24.8196202,-65.3948114,ChIJf00scofDG5QRN88S1656ypg
Diseño web Argentina,clothing_store,0,-24.818282,-65.3931473,ChIJq2p6cWjDG5QRvuVT9LW5KpI
Servicio técnico de Computadoras,car_repair,0,-24.8195535,-65.3943379,ChIJezu9ui_DG5QRgb3uAwqz3zk
Fotocopias e Impresiones MICHI,book_store,1,-24.8195691,-65.3942874,ChIJvZuhpV_DG5QRUNffJvyocCA
GOPAR,clothing_store,4,-24.8176818,-65.3980734,ChIJdcv0e2nDG5QRXygG6K5je3w
Carfila,clothing_store,12,-24.806524,-65.4028264,ChIJDdDBFHPDG5QRMsbMwhsohVE
Opción Gráfica Salta,clothing_store,5,-24.806492,-65.403818,ChIJN7IbRKLDG5QR6eC3G99ZgrY
C.I.R. de Oscar Daniel Ceballos,school,1,-24.8061239,-65.402562,ChIJKYI-vTTDG5QRIE9pbNeOFZE
Casa Hortensia,lodging,2,-24.8063175,-65.4025056,ChIJb_Y0E3PDG5QR-tzUsM47z7E
Mercería,clothing_store,2,-24.8064391,-65.4040256,ChIJd9WJql7DG5QR_Z8AwciWBi0
Sindicato Obrero Industrias Ceramistas,clothing_store,14,-24.8064957,-65.4024615,ChIJwVvDGnPDG5QRIBuzD7qjO00
Consultora Natura andy,accounting,0,-24.8059689,-65.4040626,ChIJNab0yszDG5QRukU3SOh2ts0
tingmarke,clothing_store,0,-24.8069839,-65.4031686,ChIJRX68rTfDG5QRh40nRNEbMr8
mi casita,lodging,0,-24.8060303,-65.4023356,ChIJseDiewDDG5QRJNPPLXZuiZ8
Nextec S.R.L,clothing_store,5,-24.8056546,-65.4039379,ChIJE8fQHj_DG5QRab1tI3cEadc
BRISI,clothing_store,1,-24.8069253,-65.4037874,ChIJcaq34jLDG5QRZLSAzb8fWzc
Carnicería Abasto,grocery_or_supermarket,3,-24.80583,-65.4041249,ChIJm3ckUnPDG5QRPaPPRDpRa1s
Salones de fiestas colibri,clothing_store,131,-24.7692541,-65.4025384,ChIJdRHIvBnDG5QRw1bg7uIl5To
Pollería interna San Silvestre,grocery_or_supermarket,0,-24.7695893,-65.4019825,ChIJC--ZFwDDG5QRPamX5pxQbsA
Arquitecto Penovi Pablo,hair_care,1,-24.7882158,-65.4169843,ChIJj4_HibDDG5QR2u8DYU784kw
Siriux Tech SA,electronics_store,0,-24.7881638,-65.4170388,ChIJdeBdj7DDG5QRFubizA5L6sU
Dean Silvia Cristina,clothing_store,0,-24.7881048,-65.4170936,ChIJJXuUibDDG5QRh11kIpE5fPY
JURI - ABOGADOS,lawyer,12,-24.7881869,-65.4171408,ChIJO85QnW3DG5QRPLba-LXChtI
Estudio Juridico López-Villagra,lawyer,0,-24.7885167,-65.4170178,ChIJF-BqrTfDG5QRQMIFqDbNQko
Revistas CARGA DE SAETA,grocery_or_supermarket,3,-24.7885594,-65.4164609,ChIJXzWJgrrDG5QRmq3wmc-Ox28
Fusion Grafica Aplicada,clothing_store,0,-24.7885585,-65.4164502,ChIJZT2df7DDG5QRt3pgeHXEjk8
Eventos Mediterráneo,home_goods_store,496,-24.738643,-65.4111796,ChIJlbKiEmzBG5QRwetjJAD_xPE
ZAC SUBLIMACIONES,clothing_store,1,-24.7360267,-65.4111499,ChIJb7O7jAXBG5QRMyjZ0r9hPUI
Hotel para mascotas PATITAS,lodging,40,-24.7367959,-65.4110302,ChIJbe-QhmzBG5QRQdPo7ojDkf4
Ciclovía Av. Bolivia,bus_station+transit_station,1,-24.7352198,-65.411737,ChIJCRPH5mPBG5QRAL0ecCDQ1QU
Muña para tu Huerta,clothing_store,1,-24.7349822,-65.4112241,ChIJj9k_EH3BG5QR2tYRITi0Yuk
C & M Instituto de Ingles,school,9,-24.7356216,-65.410089,ChIJ3VMWBxHBG5QRD6QyGDr5FKA
ARCADE,clothing_store,27,-24.7359674,-65.4099236,ChIJl3SsQCfBG5QRBB9vyZQnbEY
Rotonda del Brigadista Forestal,restaurant,7,-24.7377255,-65.4124181,ChIJNytUer_BG5QRR8eB1PJbpoI
Autoestetica salta,lodging,153,-24.7345651,-65.4112918,ChIJr7-SbBrBG5QRGSS1lPDyxAE
MADETOYS,clothing_store,11,-24.7357658,-65.4092797,ChIJ-YowSLjBG5QRJqdGKwJFnB0
Infinity Academia de Patinaje Online,school,0,-24.7383581,-65.4111285,ChIJLV5l9qLBG5QRP0YCW4hB394
La Pampa mini super,restaurant,4,-24.734026,-65.4108815,ChIJc0wnKanBG5QRjkjM24VXgoI
Fares W Dagum,clothing_store,0,-24.7686322,-65.3954871,ChIJJWk9We7DG5QRxutZVit-Pjc
