Name,type,ratings,latitude,longitude,place_id
Plaza Louis Pasteur,park,78,-24.7874671,-65.4350202,ChIJua_sREnCG5QRk4N3xRRbzvI
Jose Naselli Refrigeración domiciliarios y automoviles,,0,-24.7871442,-65.4350317,ChIJFYXeeQvDG5QRtYtj3V-xIqM
Vicaria Cristo Rey,church,41,-24.8019374,-65.4467868,ChIJkRFgpV7CG5QRwhXmIlK4ST0
Carlos Gardel y Monje Ortega,bus_station+transit_station,0,-24.8018531,-65.4469879,ChIJkXn0pl7CG5QRVLkLgVfCiFA
Mas Brillo,,358,-24.7813034,-65.4226169,ChIJlaRXXqXDG5QRO3lp7iUfwTs
Asociacion de Profesionales,,1,-24.781761,-65.4242237,ChIJuf_sFLnDG5QRw5QydhiBf1A
Los Especialistas,car_repair,5,-24.7826811,-65.423868,ChIJE4yNuLXDG5QR3xharQ_i-6Q
National Car Rental,car_rental,0,-24.7820952,-65.4231976,ChIJBXYalP_pG5QRBARjCh1gMLw
Alamo Rent A Car,car_rental,35,-24.7820977,-65.4232063,ChIJ8adu8-UxH5QRmPPpnxim-qI
Bicicletería Bianchi (estafador),,2,-24.7821,-65.4232,ChIJ5SWGr_7DG5QR04xaduV9LMg
Sublimaciones y estampado IMPSUB,,1,-24.7817234,-65.4232508,ChIJO9PeCd7DG5QRslJiNRsN1LQ
El Tren a las Nubes,tourist_attraction,4,-24.7821269,-65.4231976,ChIJEfq1NQDDG5QRpmTK2eKFC70
Mercado libre,home_goods_store,3,-24.7821269,-65.4231976,ChIJQSdBdabDG5QRFWaak2yLPyQ
La Quiaca,lodging,7,-24.7821269,-65.4231976,ChIJiRcAiKfDG5QRxrJK9bCkfO4
Garage detail salta,car_wash,1,-24.7768293,-65.4298597,ChIJKYWGClXDG5QRAmvVCJFbCXI
Yacuy SRL,,0,-24.7760201,-65.4307241,ChIJXdovejPCG5QRoGCZJ7IdJ8I
El Barba,hair_care,5,-24.7768604,-65.4297574,ChIJbyoicXrDG5QRYXd2OBQUWM8
La Cocina del Pirata,restaurant,0,-24.7772182,-65.4303942,ChIJ4Sl6XxjDG5QRygH1oxXau_0
Patricia Ruiz,,0,-24.7770504,-65.4298053,ChIJJxuhlzTCG5QREHPl7p4tNWM
LA MINGA REGIONALES,restaurant,17,-24.776428,-65.431378,ChIJncx9Z2vDG5QRQ59hE3rQe4k
Premium Pet Shop,,0,-24.7524218,-65.407127,ChIJC_W9_GDBG5QRGdvGdIPoIS4
Coca San Agustin,,0,-24.7521561,-65.4069184,ChIJVWb65GDBG5QRKhsLIDAduDg
Creaciones Matilde,clothing_store,0,-24.7524166,-65.4072084,ChIJ4xIMQQDBG5QRUJZrI8nbd9A
Jesus Coppa,,1,-24.7520834,-65.4068468,ChIJAUBT5GDBG5QR68gqLQ7_dxY
Percello Propiedades,real_estate_agency,0,-24.7525499,-65.4072303,ChIJr8Jp_sHBG5QRoyMpWtGVWos
Av. Constitucion Nacional y Vicente Lopez,bus_station+transit_station,0,-24.7526163,-65.4068987,ChIJK-HT-2DBG5QR1TVyToRU8r4
iglesia cristiana evangelica Encuentro Con Dios,church,10,-24.752366,-65.4066292,ChIJ07Nv8GDBG5QRdyGdBVoTtcQ
Victor H Cabana,,1,-24.7519067,-65.4070229,ChIJi1GM5mDBG5QRHoZTi4Z3bCM
Vera Gabriel Fernando,,1,-24.7520057,-65.4073306,ChIJvznTJ7rDG5QRBP_EpzECEk8
Peinados Gloria,hair_care,13,-24.7519817,-65.4067604,ChIJRYikpSjBG5QRc0BZXoesTq0
Av. Constitucion Nacional y Vicente Lopez-1,bus_station+transit_station,0,-24.7519782,-65.4067373,ChIJWdjx5WDBG5QRED9eWMoE8to
