Name,type,ratings,latitude,longitude,place_id
Charo Indumentaria,clothing_store,0,-24.7847818,-65.3999805,ChIJl_nF4JbDG5QRuZCWfSztVfc
Edificio Leguizamon 979,,8,-24.78367,-65.4154605,ChIJE2sUw7nDG5QRNmFCFddV2So
Departamento Leguizamon,real_estate_agency,1,-24.78367,-65.4154605,ChIJmVWljK_DG5QR0492sStSCCs
Dra. Rocio Atrio - Dermatología Estética,doctor,0,-24.78367,-65.4154605,ChIJh5Vfd3PDG5QRMoXbR9b4SO0
Proyecto Norte,,0,-24.78367,-65.4154605,ChIJq6o66LnDG5QRXKAJ0alMWmo
Lamp House oficial,,2,-24.7833289,-65.4150454,ChIJw8bcwwHDG5QRwT9iIqrM_yo
Cristina Market Autoservicio,grocery_or_supermarket,1,-24.7833289,-65.4150454,ChIJ4z8GR6fDG5QRAjTwP3tWXYU
Maquinas De Coser,,3,-24.7833289,-65.4150454,ChIJOx8CwbnDG5QRLBw2JQdHvs4
Cafe Valentino,,0,-24.7833289,-65.4150454,ChIJ-Z4yTR_DG5QRGUzFWIkUvdU
KINESIOLOGIA y FISIOTERAPIA JEREZ,,3,-24.847192,-65.4521014,ChIJ_c6RqSzDG5QRcCMiogvpYLM
Mas Brillo,,35,-24.847192,-65.4521014,ChIJrV6xZo3DG5QRPJUPeoPmtWQ
Abra de vaicito,,0,-24.7925756,-65.4251688,ChIJNViRdwDDG5QRj-tlPT7GDrs
La Cada de las empanadas Los Mellis,restaurant,0,-24.7925756,-65.4251688,ChIJOx5ggtbDG5QRNcwhp3FkARo
hostal yatasto,lodging,0,-24.7925756,-65.4251688,ChIJkdIYk6LDG5QRj4Se7RB7nI4
Edificio San Nicolás,,0,-24.8012157,-65.4130237,ChIJ1bT21QnDG5QRDX0oGVHFFMw
GERMAN Toner,,0,-24.8012157,-65.4130237,ChIJe8Xw1QnDG5QRE_tnn4ZQbF4
Cook Amoblamientos,furniture_store+home_goods_store,2,-24.8012157,-65.4130237,ChIJbbPR1QnDG5QRq5Xq31NUzaM
Distribuidora Galoppo,,29,-24.7704731,-65.4089911,ChIJ3RORmMPDG5QRMDIS0NE6s-U
Especias La Candelaria,grocery_or_supermarket,0,-24.7704731,-65.4089911,ChIJ3RORmMPDG5QRNAxf4gR4S8o
Insumos,,0,-24.7704731,-65.4089911,ChIJ3RORmMPDG5QRNlFMmJnIyhE
Viviendas Argentinas,,2,-24.7902326,-65.4181232,ChIJhVNW22jDG5QREj5qvAnVaSE
Acompaño Tu Vuelo,,0,-24.7902326,-65.4181232,ChIJYcnHnqvDG5QRYbAC4fkkI5U
Turismo Aventura Salta,,0,-24.7908908,-65.4286738,ChIJxXSOkCnDG5QRKJUpqngMi1s
Quewar Outdoors,,3,-24.7908908,-65.4286738,ChIJIUmMYKbDG5QRaNiGg32XCjw
Sebastian del Val; Adventure Photo Tours in Puna of Atacama Argentina.,,11,-24.7908908,-65.4286738,ChIJUYtnvaLDG5QRgmxYPmBMh7s
Supermercados Moldes,,0,-24.7906508,-65.4276639,ChIJ06dWiP7DG5QR1l83vnOiGD0
He Jianjin,,0,-24.7906508,-65.4276639,ChIJdVMtzrLDG5QRjKDTHSezbsw
Auxilio Salta,,42,-24.770673,-65.4394693,ChIJcbPRaLjDG5QRad3avLRUDyw
ESTOCOLMO; Lácteos y Bebidas.,liquor_store,0,-24.770673,-65.4394693,ChIJ6-ODaADDG5QRRK8qsy5jbDU
Fundacion Porto - Estudio Porto,insurance_agency,0,-24.770673,-65.4394693,ChIJ2SEkCPfDG5QR7naGOlY94Tw
Geo-Mahr,,40,-24.770673,-65.4394693,ChIJ-zUh1jLDG5QRub-vWiNH5nw
EL DESAFÍO - Carnes Especiales,,2,-24.770673,-65.4394693,ChIJX-6TzALDG5QR0iuyvglNU8c
La Veloz Del Norte Encomiendas,,3,-24.80828,-65.3956429,ChIJlWygzHHDG5QRYrdfptaGpTw
Cajas De Velocidad,,0,-24.80828,-65.3956429,ChIJlWygzHHDG5QR9JMjrxXVuus
Reparacion De Amortiguadores,car_repair,1,-24.80828,-65.3956429,ChIJlWygzHHDG5QRQ1eVMy0HljA
Montana distribuidora de aluminio y vidrio Salta,,3,-24.8084161,-65.4067803,ChIJf-_NterDG5QRAVRDdqnIr48
Revestimientos,,0,-24.8084161,-65.4067803,ChIJE4tB_QzDG5QRJWwWFG4hUaI
Hidrotec,,0,-24.8084161,-65.4067803,ChIJE4tB_QzDG5QR8jtmJhEtkpc
Remiseria de Rosario de Lerma,,1,-24.793829,-65.414293,ChIJP8QqpaXDG5QR_-uTzot5PDg
DULCE MIA,clothing_store,2,-24.793829,-65.414293,ChIJP8QqpaXDG5QRq_nWDTPvATY
Estética Ladies,,0,-24.7881933,-65.4170342,ChIJTX4f35vDG5QRThngTf16uvk
ESTUDIO GARCIA VILLAMIL,,0,-24.7881933,-65.4170342,ChIJJXuUibDDG5QRx8p2E5oJCuI
Estudio Sacchetti Civil - Laboral,lawyer,0,-24.7881933,-65.4170342,ChIJJXuUibDDG5QRoA8pPAPsQb8
Reposeras,,0,-24.7892689,-65.417844,ChIJzSH8QbDDG5QRdEVpYvav2YI
Inodoro,,0,-24.7892689,-65.417844,ChIJzSH8QbDDG5QRyGJ3lpgkO7I
Gazebo,,0,-24.7892689,-65.417844,ChIJzSH8QbDDG5QRxgGbeQV51ak
Juegos De Jardín,,0,-24.7892689,-65.417844,ChIJzSH8QbDDG5QRfk5muala_tU
D3D Laboratorio de Impresión 3D,,1,-24.7747882,-65.4040796,ChIJ9eUKhW3DG5QR_ZmPGskbepQ
SALTA3D - S3D,,13,-24.7747882,-65.4040796,ChIJn5yz60rDG5QRb85bfsS0Wqg
CURSOS LINTI - CAJUTAC,local_government_office,1,-24.7743777,-65.404128,ChIJ-9VRS7bDG5QRs_9km1S34WE
Big North Uniformes,clothing_store,0,-24.7743777,-65.404128,ChIJ_yvRz9nDG5QRoD2sZyichXg
Dulce Cafe Salta,,28,-24.7743777,-65.404128,ChIJ40BN7o_DG5QRDMxvU0FD4hw
Nivel Seguros,,14,-24.8058358,-65.4213682,ChIJdbsr2gbDG5QRniIiAprPj7I
PRODUCTORA ASESORA NORMA SONA,insurance_agency,0,-24.8058358,-65.4213682,ChIJ0SOOzs7DG5QRhsdHcKoWpPY
SEGUROS NORMA SONA TU ASESORA,insurance_agency,0,-24.8058358,-65.4213682,ChIJ2ddWWgXDG5QR4hvBf7584fE
Specterman & Asociados,,1,-24.7823182,-65.4113957,ChIJX8WZPLnDG5QR5IPSuwZs7-E
Consultora Muratore y Asociados,accounting,2,-24.7823182,-65.4113957,ChIJ69j_cwbDG5QRwI0GmkQJhVE
Manu,clothing_store,0,-24.7823182,-65.4113957,ChIJVbIQO7nDG5QRHuJD3oYL5Aw
Escribania Dorado,,0,-24.7823182,-65.4113957,ChIJuWYWO7nDG5QRUcpGvO86414
Cardumen Teatro,,0,-24.77215,-65.4112635,ChIJiQp8BqzDG5QRRkMyo9MS98U
Aire Agencia Co.,,2,-24.77215,-65.4112635,ChIJgcQC5FvDG5QRJgOftSrPGyI
PORQUESÍ CASA CULTURAL,,27,-24.77215,-65.4112635,ChIJQehpFL_DG5QRRpnyl-UcD2A
Coconut.tiendasalta,,0,-24.7712956,-65.4107508,ChIJFdgBQcXDG5QRGY0EPtklM6w
Edificio Balcarce 1483,,2,-24.7712956,-65.4107508,ChIJoxIrdMTDG5QRvYTjPr9QuQU
Malena Eventos,,0,-24.7874139,-65.4075533,ChIJf90H4bzDG5QRnbFkJ067RNM
Veterinaria Full Dog,veterinary_care,0,-24.7874139,-65.4075533,ChIJaVey4bzDG5QRVXrxy_RvS5o
Staff Médico Salta,,0,-24.7874139,-65.4075533,ChIJjW9nsezDG5QRlsgkWBD9JEY
Pizza Om,restaurant,0,-24.7874139,-65.4075533,ChIJwcgB4bzDG5QR9VXrNxB78S8
Dhl,,0,-24.7870706,-65.4079335,ChIJlSAX-7zDG5QR0Xuigv36n8M
Las gringas fiambreria y sandwicheria,,1,-24.7870706,-65.4079335,ChIJM1A_n__DG5QRETos7IrWsok
Inmobiliaria Matassi,,0,-24.7870706,-65.4079335,ChIJlSAX-7zDG5QRQvlWQDe8WPM
Apartamento | Dpto Urbano | Vacaciones en Salta.,lodging,0,-24.7877226,-65.4076692,ChIJy9uMIevDG5QRhyE26oudkC4
Impresiones 3D Salta,,2,-24.7877226,-65.4076692,ChIJKyk4MkLDG5QR3_7LzH5zy5Q
S+I Estudio de Ingeniería,,6,-24.7728293,-65.3975727,ChIJ7UmDb-zDG5QRWdEzFpWKoDk
Goris B&B - Tres Cerritos,lodging,0,-24.7728293,-65.3975727,ChIJmaCO_D3DG5QRPSnYXtahq6s
Lucciano's Alto Noa Shopping - Salta,,196,-24.780762,-65.4019694,ChIJ80KxXGfDG5QRyX3oMyWI2SI
Start Alto Noa Salta,,4,-24.780762,-65.4019694,ChIJ1_VgFbXDG5QR1jEtNGm-np8
Mozzafiato comidas,meal_takeaway+restaurant,0,-24.7828954,-65.4118723,ChIJ92Rnt-DDG5QR6Tclsl29T5o
Rica La Vida,restaurant,0,-24.7828954,-65.4118723,ChIJfwrZP7nDG5QR-gdFg3eDOB4
Mak lucas,restaurant,1,-24.7968746,-65.4172579,ChIJaT3OPADDG5QRdwYmaBX5WC8
Villa maria,lodging,1,-24.7968746,-65.4172579,ChIJk71jdjbDG5QRgy6WZhkLBC0
las tipas,school,0,-24.7968746,-65.4172579,ChIJE1NiNkTDG5QRieHTbV3B2qo
Carmen salta,lodging,0,-24.7768428,-65.4181126,ChIJ-WF9fADDG5QRtEHPNrRJIQc
DECAR WASH lavadero,car_wash,0,-24.7768428,-65.4181126,ChIJ1ajWEADDG5QRoH7-Qmr6dTI
Bon Vivant Club; ocio; placer; goce; lugares; Salta,,0,-24.7768428,-65.4181126,ChIJ-wdF_KnDG5QR96b_Le5k0cg
Consultor Independiente de Mary Kay en Salta; Argentina,,2,-24.7769214,-65.4185835,ChIJn3GKp3_DG5QR50n0wvz0-A8
Hielo Rolito Helados y frutas congeladas Rüffresshh,,0,-24.7769214,-65.4185835,ChIJGRAkrL3DG5QR2duYcVi67lY
Suplementos Omnilife y cosmética Seytu Centro De Negocio Escalera Al Éxito,,44,-24.7769214,-65.4185835,ChIJzeX8-cjDG5QRHE94dJTq5M4
Drugstore sofia,,1,-24.7842078,-65.4059721,ChIJLwmma63DG5QRpRwP_lepRWs
Dra. Lujan Bozzone,doctor,0,-24.7842078,-65.4059721,ChIJvzXHE_fDG5QRFmSXbcI_3Dw
estamos para ayudarte !,,1,-24.7842078,-65.4059721,ChIJVVWBwr3DG5QR8d0r8ezkfMo
Pasión; creatividad y una taza de café.,,0,-24.7842078,-65.4059721,ChIJVVWBwr3DG5QR_9tmBUEYORg
Lic Clara Josefina Peverelli,,1,-24.784583,-65.4243388,ChIJTzYBnZnDG5QRV6pLxV87pRI
Consultorio de Psicologia,,0,-24.784583,-65.4243388,ChIJKwwGB7PDG5QRTbmRT3fdKVc
Consultorios de Atención Integral,hospital,1,-24.784583,-65.4243388,ChIJa0sYex_DG5QRyuDM4pteWm8
Los Ceibos,,1,-24.7935032,-65.4126248,ChIJJ1qohWjDG5QRox5_mRm_rwA
GRUPO HYS DISTRIBUIDORA DE SEGURIDAD E HIGIENE,,0,-24.8095466,-65.4188044,ChIJfeVOmqTDG5QR_yccjNyDGqI
Famago,,1,-24.8095466,-65.4188044,ChIJl84ysQXDG5QRpOI99YP0JWY
Air Liquide Argentina SA,,1,-24.7796038,-65.403567,ChIJBzgxwOjDG5QRTTN47lsLzMk
XIMA Negocios Inmobiliarios,,0,-24.7796038,-65.403567,ChIJr9hRcJXDG5QRDrBL6ZMCcZU
Zurich,insurance_agency,0,-24.7796038,-65.403567,ChIJmTqtcZXDG5QRzBb2eW070Io
Amaite Indumentaria,clothing_store,1,-24.790346,-65.4225636,ChIJr5DsxvrDG5QR7xEVwTp64Fc
Estudio jurídico Lazzareschi,lawyer,2,-24.790346,-65.4225636,ChIJ2x9ymTLDG5QRH4Eejv3V0_E
Centro de Mediación C.E.M,lawyer+accounting,0,-24.790346,-65.4225636,ChIJ_RPqIbLDG5QRmdaKHwi7nDA
Radio Dinamo 100.9 Mhz,,72,-24.7682706,-65.4117309,ChIJbXhttsTDG5QRD1KFkFlCWNU
Digital Winds | Agencia de Marketing Digital Salta,,1,-24.7682706,-65.4117309,ChIJr3yFY47DG5QR9cAJ-58SgOE
Oficina de La Misión,,0,-24.7682706,-65.4117309,ChIJwws6hDjDG5QRRPrc0H7HpOc
